question_id,technique,query,rank,store_score,cosine_sim,chunk_len,preview,source_file,latency_ms
q1,sentence_window,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,1,0.800279,0.803051,58,Description: Prototype Pollution vulnerability in lodash. ,02_lodash_CVE-2020-8203.txt,12.311
q1,sentence_window,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,2,0.797965,0.803051,58,Description: Prototype Pollution vulnerability in lodash. ,03_lodash_CVE-2019-10744.txt,12.311
q1,sentence_window,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,3,0.775428,0.769549,301,"pick, set, setWith, update, updateWith, zipObjectDeep in the later CVE), which is why upgrading past one patched version does not guarantee protection against t",03_lodash_CVE-2019-10744.txt,12.311
q1,sentence_window,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,4,0.773459,0.809639,197,"Vulnerability ID: CVE-2019-10744 (GHSA-jf85-cpcp-j695) Package: lodash Ecosystem: npm Severity: Critical, CVSS 3.1 base score 9.1  Affected versions: lodash low",03_lodash_CVE-2019-10744.txt,12.311
q1,sentence_window,What version of lodash fixes the prototype pollution vulnerability CVE-2020-8203?,5,0.764931,0.797727,190,"Vulnerability ID: CVE-2020-8203 (GHSA-p6mc-m468-83gw) Package: lodash Ecosystem: npm Severity: High, CVSS 3.1 base score 7.4  Affected versions: lodash prior to",02_lodash_CVE-2020-8203.txt,12.311
q2,token,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",1,0.673391,0.615154,967,CVSS Scoring Worked Examples Across This Corpus's Vulnerabilities =======================================================================  This document walks t,33_cvss-worked-examples.txt,8.736
q2,token,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",2,0.628341,0.612533,761,"High (7.0-8.9), and Critical (9.0-10.0). The score is calculated from several sub-metrics describing exploitability (attack vector -- network, adjacent, local, ",23_vulnerability-databases-explainer.txt,8.736
q2,token,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",3,0.544397,0.619598,198,"summary alone cannot convey.  Sources: first.org CVSS v3.1 specification document, NVD score details pages for CVE-2021-44228, CVE-2014-0160, CVE-2018-18074, an",33_cvss-worked-examples.txt,8.736
q2,token,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",4,0.523799,0.544218,833,"is actually being exploited by real attackers at a given point in time. Two vulnerabilities can share an identical 9.8 CVSS score, yet one might have no known p",38_patch-prioritization-kev-epss.txt,8.736
q2,token,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",5,0.509428,0.517241,948,"entry, to consider their own specific deployment context rather than relying purely on a published base score when prioritizing remediation.  The general lesson",33_cvss-worked-examples.txt,8.736
q2,semantic,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",1,0.673391,0.615154,1906,CVSS Scoring Worked Examples Across This Corpus's Vulnerabilities =======================================================================  This document walks t,33_cvss-worked-examples.txt,7.007
q2,semantic,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",2,0.481438,0.467161,2506,Vulnerability ID: CVE-2021-44228 (also tracked as GHSA-jfh8-c2jp-5v3q) Package: log4j-core (Apache Log4j 2) Ecosystem: Maven (Java) Common name: Log4Shell Sever,01_log4j_CVE-2021-44228.txt,7.007
q2,semantic,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",3,0.480056,0.498601,1472,"Privileges Required: None. User Interaction: None. However, unlike Log4Shell, Heartbleed's Integrity and Availability impacts are both rated None -- the vulnera",33_cvss-worked-examples.txt,7.007
q2,semantic,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",4,0.469941,0.350268,2466,User Interaction: None. Confidentiality Impact: High (the leaked credential itself). Integrity and Availability Impact: None. The elevated Attack Complexity rel,33_cvss-worked-examples.txt,7.007
q2,semantic,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",5,0.45291,0.461654,5277,"Prioritizing Patches: CVSS Score, Exploitability, and the CISA KEV Catalog ================================================================================  Bui",38_patch-prioritization-kev-epss.txt,7.007
q2,sentence_window,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",1,0.565829,0.587539,452,"Two vulnerabilities can share an identical CVSS score for very different underlying reasons -- for example, Log4Shell's 10.0 score reflects trivial remote explo",23_vulnerability-databases-explainer.txt,12.208
q2,sentence_window,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",2,0.555262,0.490067,558,CVSS Scoring Worked Examples Across This Corpus's Vulnerabilities =======================================================================  This document walks t,33_cvss-worked-examples.txt,12.208
q2,sentence_window,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",3,0.538214,0.635274,148,"Sources: first.org CVSS v3.1 specification document, NVD score details pages for CVE-2021-44228, CVE-2014-0160, CVE-2018-18074, and CVE-2021-35042. ",33_cvss-worked-examples.txt,12.208
q2,sentence_window,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",4,0.536622,0.55677,346,Vulnerability ID: CVE-2021-44228 (also tracked as GHSA-jfh8-c2jp-5v3q) Package: log4j-core (Apache Log4j 2) Ecosystem: Maven (Java) Common name: Log4Shell Sever,01_log4j_CVE-2021-44228.txt,12.208
q2,sentence_window,"What CVSS v3.1 base score did Log4Shell (CVE-2021-44228) receive, and what does that score reflect?",5,0.535754,0.558559,758,"Two vulnerabilities can share an identical 9.8 CVSS score, yet one might have no known public exploit code and no observed real-world exploitation whatsoever, w",38_patch-prioritization-kev-epss.txt,12.208
q3,token,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",1,0.732613,0.715279,617,Vulnerability ID: CVE-2021-35042 Package: django Ecosystem: PyPI (Python) Severity: Critical (SQL injection)  Affected versions: Django 3.2 before 3.2.5 (only t,05_django_CVE-2021-35042.txt,8.495
q3,token,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",2,0.589288,0.586425,941,"position or control of network infrastructure between the client and server, which is a materially harder precondition than simply sending a crafted request to ",33_cvss-worked-examples.txt,8.495
q3,token,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",3,0.561884,0.505705,813,"string could avoid Django's normal quoting/escaping of identifiers and instead be interpolated close to raw into the generated SQL, allowing an attacker to appe",05_django_CVE-2021-35042.txt,8.495
q3,token,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",4,0.54583,0.57568,861,"input is incorporated into a SQL query without sufficient neutralization of special characters or syntax, allowing an attacker to alter the query's logic -- for",22_cwe-weakness-catalog.txt,8.495
q3,token,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",5,0.523993,0.481706,746,should also validate any user-supplied ordering field against an explicit allow-list rather than passing it straight into order_by().  Sources: Django security ,05_django_CVE-2021-35042.txt,8.495
q3,semantic,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",1,0.707634,0.662965,2389,Vulnerability ID: CVE-2021-35042 Package: django Ecosystem: PyPI (Python) Severity: Critical (SQL injection)  Affected versions: Django 3.2 before 3.2.5 (only t,05_django_CVE-2021-35042.txt,6.749
q3,semantic,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",2,0.633729,0.608109,2466,User Interaction: None. Confidentiality Impact: High (the leaked credential itself). Integrity and Availability Impact: None. The elevated Attack Complexity rel,33_cvss-worked-examples.txt,6.749
q3,semantic,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",3,0.544237,0.502015,548,"An attacker can supply a value engineered to inject additional SQL into the ORDER BY clause, potentially extracting data the query was never intended to expose.",05_django_CVE-2021-35042.txt,6.749
q3,semantic,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",4,0.450075,0.457232,1655,"Vulnerability ID: CVE-2020-14343 Package: PyYAML Ecosystem: PyPI (Python) Severity: Critical, CVSS 3.1 base score 9.8  Affected versions: PyYAML before 5.4 (fix",08_pyyaml_CVE-2020-14343.txt,6.749
q3,semantic,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",5,0.447419,0.381095,6162,"Understanding CVE, GHSA, OSV, NVD, and CVSS: How Vulnerability Data Is Identified, Scored, and Distributed =====================================================",23_vulnerability-databases-explainer.txt,6.749
q3,sentence_window,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",1,0.72762,0.777155,334,Vulnerability ID: CVE-2021-35042 Package: django Ecosystem: PyPI (Python) Severity: Critical (SQL injection)  Affected versions: Django 3.2 before 3.2.5 (only t,05_django_CVE-2021-35042.txt,11.978
q3,sentence_window,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",2,0.663574,0.647999,927,"Django SQL injection (CVE-2021-35042): commonly scored in the Critical band once combined with realistic query context, though NVD's automated base scoring refl",33_cvss-worked-examples.txt,11.978
q3,sentence_window,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",3,0.660352,0.652692,153,Django's CVE-2021-35042 (a SQL injection reachable through QuerySet.order_by() when passed an unsanitized column value) is an instance of this weakness. ,22_cwe-weakness-catalog.txt,11.978
q3,sentence_window,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",4,0.622386,0.567884,328,"Description: QuerySet.order_by() in Django 3.2 before 3.2.5 allows SQL injection if order_by is passed a suitably crafted ""column"" value that originates from an",05_django_CVE-2021-35042.txt,11.978
q3,sentence_window,"Which Django release line introduced the SQL injection vulnerability CVE-2021-35042, and which QuerySet method was the vulnerable code path?",5,0.610404,0.420759,155,"Exploitation scenario: a typical vulnerable pattern is a list or search view that lets users choose how results are sorted via a URL query parameter, e.g. ",05_django_CVE-2021-35042.txt,11.978
q4,token,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",1,0.63562,0.569543,881,"specifically, SSH logins on a system running a very recent development build of a Linux distribution were taking noticeably longer than expected, and consuming ",28_xz-backdoor-extended-analysis.txt,8.803
q4,token,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",2,0.627217,0.604798,269,"contributor"" social-engineering as a supply-chain attack vector, distinct from typical code-vulnerability CVEs.  Sources: openwall.com oss-security mailing list",16_xz-utils_CVE-2024-3094.txt,8.803
q4,token,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",3,0.601413,0.533823,364,rather than a one-off failure specific to this particular maintainer or project.  Sources: Andres Freund's original oss-security mailing list disclosure post; C,28_xz-backdoor-extended-analysis.txt,8.803
q4,token,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",4,0.592474,0.651043,923,"Tan"" made increasingly substantial, seemingly legitimate contributions to the xz-utils project, eventually earning co-maintainer status and commit access from t",28_xz-backdoor-extended-analysis.txt,8.803
q4,token,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",5,0.583242,0.708013,918,Extended Technical Analysis: The XZ Utils Backdoor (CVE-2024-3094) =======================================================================  This document expand,28_xz-backdoor-extended-analysis.txt,8.803
q4,semantic,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",1,0.593666,0.603866,2220,"Vulnerability ID: CVE-2024-3094 Package: xz-utils / liblzma Ecosystem: C library, packaged across major Linux distributions; a dependency of OpenSSH on some dis",16_xz-utils_CVE-2024-3094.txt,7.005
q4,semantic,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",2,0.583242,0.708013,2700,Extended Technical Analysis: The XZ Utils Backdoor (CVE-2024-3094) =======================================================================  This document expand,28_xz-backdoor-extended-analysis.txt,7.005
q4,semantic,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",3,0.539779,0.537051,3227,The activation conditions and payload ------------------------------------------- The backdoor was engineered to activate only under a fairly narrow set of cond,28_xz-backdoor-extended-analysis.txt,7.005
q4,semantic,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",4,0.501856,0.506579,1211,"A History of npm Supply-Chain Attacks (2018-2024) ==================================================  This document surveys a sequence of real, publicly documen",19_npm-supply-chain-history.txt,7.005
q4,semantic,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",5,0.488592,0.473787,2406,Vulnerability ID: GHSA-r6fq-c6j4-vjxx (npm advisory for event-stream) Package: event-stream (and its dependency flatmap-stream) Ecosystem: npm Common name: even,18_event-stream_supply-chain-2018.txt,7.005
q4,sentence_window,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",1,0.647244,0.519412,262,Sources: Andres Freund's original oss-security mailing list disclosure post; CISA emergency advisory on the XZ Utils backdoor; extensive community timeline reco,28_xz-backdoor-extended-analysis.txt,12.468
q4,sentence_window,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",2,0.641665,0.654367,176,How the backdoor was technically hidden -------------------------------------------- The malicious logic was not placed directly and visibly in the project's ma,28_xz-backdoor-extended-analysis.txt,12.468
q4,sentence_window,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",3,0.61598,0.654783,527,Extended Technical Analysis: The XZ Utils Backdoor (CVE-2024-3094) =======================================================================  This document expand,28_xz-backdoor-extended-analysis.txt,12.468
q4,sentence_window,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",4,0.607067,0.603807,509,The multi-year social-engineering campaign -------------------------------------------------- Unlike a vulnerability introduced through a single malicious commi,28_xz-backdoor-extended-analysis.txt,12.468
q4,sentence_window,"How did the attacker behind the XZ Utils backdoor gain the access needed to introduce malicious code, compared to how the attacker behind the event-stream supply-chain incident gained access?",5,0.587214,0.63854,417,Distinguishing protestware from a traditional supply-chain attack ------------------------------------------------------------------------------- Every other su,41_protestware-governance.txt,12.468
q5,token,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",1,0.719781,0.744858,835,"same week, and the vulnerability received widespread security-industry coverage given its maximum CVSS severity score and trivial exploitability. According to E",27_equifax-case-study.txt,9.148
q5,token,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",2,0.657264,0.673645,866,Case Study: The 2017 Equifax Data Breach and CVE-2017-5638 ================================================================  This document provides an extended ,27_equifax-case-study.txt,9.148
q5,token,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",3,0.634825,0.572504,680,"a Java web application framework. As detailed in this corpus's dedicated Struts2 entry, Struts 2 versions before 2.3.32 and 2.5.10.1 contained CVE-2017-5638, a ",27_equifax-case-study.txt,9.148
q5,token,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",4,0.626379,0.645614,976,root cause: an internal vulnerability-scanning process that failed to correctly identify all systems running the vulnerable Struts version; a since-expired SSL/,27_equifax-case-study.txt,9.148
q5,token,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",5,0.610533,0.660903,784,version number in a manifest file; (c) vendored or bundled copies of a library (where the source code is copied directly into a project rather than referenced a,25_dependency-management-guidance.txt,9.148
q5,semantic,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",1,0.657264,0.673645,4645,Case Study: The 2017 Equifax Data Breach and CVE-2017-5638 ================================================================  This document provides an extended ,27_equifax-case-study.txt,7.043
q5,semantic,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",2,0.617139,0.605173,328,"Remediation: upgrade to Struts 2.3.32 or 2.5.10.1 or later. As defense-in-depth, deployments can also switch the Multipart parser away from the Jakarta-based im",13_struts2_CVE-2017-5638.txt,7.043
q5,semantic,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",3,0.567026,0.601935,271,"Government Accountability Office report GAO-18-559, ""Data Protection: Actions Taken by Equifax and Federal Agencies in Response to the 2017 Breach""; Apache Stru",27_equifax-case-study.txt,7.043
q5,semantic,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",4,0.503192,0.572096,60,GAO report on the 2017 Equifax breach. Accessed 2026-09-20. ,25_dependency-management-guidance.txt,7.043
q5,semantic,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",5,0.417525,0.394588,2700,Extended Technical Analysis: The XZ Utils Backdoor (CVE-2024-3094) =======================================================================  This document expand,28_xz-backdoor-extended-analysis.txt,7.043
q5,sentence_window,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",1,0.749065,0.773312,207,"The 2017 Equifax breach, discussed in this corpus's Struts2 entry, is frequently cited as an example of exactly this last failure mode: a patch was available fo",25_dependency-management-guidance.txt,12.23
q5,sentence_window,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",2,0.731401,0.789022,259,"Real-world impact: this vulnerability was exploited in the 2017 Equifax data breach, in which attackers compromised sensitive personal data of approximately 147",13_struts2_CVE-2017-5638.txt,12.23
q5,sentence_window,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",3,0.705683,0.674522,876,Why the patch was not applied in time ------------------------------------------- Equifax's own public statements and the subsequent GAO investigation identifie,27_equifax-case-study.txt,12.23
q5,sentence_window,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",4,0.666892,0.670466,527,Case Study: The 2017 Equifax Data Breach and CVE-2017-5638 ================================================================  This document provides an extended ,27_equifax-case-study.txt,12.23
q5,sentence_window,"Beyond the unpatched Struts2 vulnerability itself, what organizational failure contributed to the scale and duration of the 2017 Equifax breach?",5,0.626451,0.698928,237,"Government Accountability Office's later investigative report, attackers began exploiting the still-unpatched vulnerability in Equifax's systems on May 13, 2017",27_equifax-case-study.txt,12.23
